p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0.000288610740428999,0.625537261466812,1,1,1
0.000303663188717268,0.344602441370864,1,1,1
0.000303663188717268,-0.213934879755992,1,1,1
0.000303663188717268,-0.295962128049063,1,1,1
0.000303663188717268,-0.338534513433867,1,1,1
0.000303663188717268,-0.339558934004731,1,1,1
0.000303663188717268,0.52585045868056,1,1,1
0.000303663188717268,0.448157920693719,1,1,1
0.000303663188717268,0.137058480149162,1,1,1
0.000303735172594061,-0.248682028084323,0.743,0.967,1
0.000311414920496823,-0.154009828439155,0.971,0.967,1
0.000319448383104172,-0.107789427553477,1,0.967,1
0.000319448383104172,-0.273528568866576,0.971,1,1
0.000319448383104172,0.393021812961034,1,1,1
0.000319448383104172,-0.280122935158077,1,1,1
0.000319448383104172,-0.362658000773606,1,1,1
0.000319448383104172,0.365804228686097,1,1,1
0.000319448383104172,-0.242418407420622,1,1,1
0.000319448383104172,0.159439491710233,1,1,1
0.000319448383104172,-0.24570594054655,1,1,1
0.000319448383104172,-0.26236220153461,1,1,1
0.000319448383104172,-0.314674637245363,1,1,1
0.000319448383104172,0.178368438934712,1,1,1
0.000319448383104172,-0.231708252702253,1,1,1
0.000319448383104172,0.381970989311959,1,1,1
0.000319448383104172,0.305272378917177,1,1,1
0.000319448383104172,-0.455652340453806,1,1,1
0.000319448383104172,-0.363771672676084,1,1,1
0.000319448383104172,0.287936038062957,1,1,1
0.000328488968887145,-0.240781515131839,0.457,0.833,1
0.000334236600854574,-0.285337627106029,0.829,1,1
0.000335999127188444,-0.149233810358974,1,0.967,1
0.000335999127188444,-0.232886868323437,1,1,1
0.000335999127188444,-0.340682806062974,1,1,1
0.000335999127188444,-0.397792251604514,1,1,1
0.000335999127188444,0.436684305556619,1,1,1
0.000335999127188444,0.915412420990569,1,1,1
0.000335999127188444,0.342032298706002,1,1,1
0.000335999127188444,0.370286950034259,1,1,1
0.000335999127188444,-0.188172674334168,1,1,1
0.000335999127188444,0.163136661917571,1,1,1
0.000335999127188444,-0.363813355248527,1,1,1
0.000335999127188444,-0.235079111402758,1,1,1
0.000335999127188444,-0.196753151921569,1,1,1
0.00034162594995736,-0.228764825448899,0.629,0.933,1
0.000352822904753402,-0.278078425166276,0.886,1,1
0.000353349543949348,-0.293123905769528,0.971,1,1
0.000353349543949348,-0.40411741395789,1,1,1
0.000353349543949348,-0.264125442346509,1,1,1
